ip_address,model_name,parameter_size,quantization_level,modified_at
45.192.96.155,all-minilm:latest,23M,F16,2025-10-26T18:14:34.1329691Z
45.192.96.155,deepseek-r1:1.5b,1.8B,Q4_K_M,2025-10-26T10:35:35.722314058Z
217.142.184.7,mattw/pygmalion:latest,7B,Q4_K_S,2025-06-30T04:34:08.471534389Z
217.142.184.7,mario:latest,3.2B,Q4_K_M,2025-06-30T04:34:08.038532403Z
217.142.184.7,llama3-backup:latest,3.2B,Q4_K_M,2025-06-30T04:34:07.496529916Z
217.142.184.7,qwen3:0.6b,751.63M,Q4_K_M,2025-05-15T09:26:19.888430661Z
217.142.184.7,qwen3:1.7b,2.0B,Q4_K_M,2025-05-15T09:25:22.135162113Z
217.142.184.7,llama3.2:latest,3.2B,Q4_K_M,2025-05-15T09:18:59.847448852Z
217.142.184.7,llama3.1:8b,8.0B,Q4_K_M,2025-04-29T07:18:30.94083374Z
217.142.184.7,smollm2:135m,134.52M,F16,2025-03-02T22:37:58.335554725Z
217.142.184.7,llama2:latest,7B,Q4_0,2025-02-22T17:29:44.19487934Z
217.142.184.7,qwen2.5:1.5b,1.5B,Q4_K_M,2025-02-15T06:40:03.274274148Z
217.142.184.7,granite3.1-dense:2b,2.5B,Q4_K_M,2025-02-15T06:28:50.066974759Z
217.142.184.7,qwen2.5:3b,3.1B,Q4_K_M,2025-02-03T16:07:42.753093393Z
217.142.184.7,nomic-embed-text:latest,137M,F16,2025-01-31T06:44:29.749326295Z
157.10.191.46,smollm2:135m,134.52M,F16,2025-11-01T06:20:47.223055857Z
157.10.191.46,psycho:latest,4.3B,Q4_K_M,2025-08-27T09:25:48.457308991Z
157.10.191.46,gemma3:1b,999.89M,Q4_K_M,2025-08-13T08:52:21.707467574Z
157.10.191.46,gemma3:4b,4.3B,Q4_K_M,2025-08-13T08:48:11.186747489Z
157.10.191.46,deepseek-r1:1.5b,1.8B,Q4_K_M,2025-08-13T08:24:51.327308944Z
157.10.191.46,deepseek-r1:7b,7.6B,Q4_K_M,2025-08-13T08:19:29.211672764Z
157.10.191.46,deepseek-r1:latest,8.2B,Q4_K_M,2025-08-13T06:56:57.529937079Z
99.3.149.40,smollm2:135m,134.52M,F16,2025-10-02T15:25:08.84664278-04:00
99.3.149.40,sam860/deepseek-r1-0528-qwen3:8b,8.19B,unknown,2025-09-05T00:41:10.548628599-04:00
99.3.149.40,mistral:7b,7.2B,Q4_K_M,2025-07-24T02:59:02.279360605-04:00
99.3.149.40,qwen3:0.6b,751.63M,Q4_K_M,2025-07-22T14:03:33.628923223-04:00
99.3.149.40,qwen3:8b,8.2B,Q4_K_M,2025-07-22T14:03:25.720991623-04:00
